year,university,school,degree,category,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2025,NTU,College of humanities arts & social sciences,English,Arts & Social Sciences,0.779,0.515,3880.0,4000.0,4008.0,4100.0,3200.0,4680.0
2025,NTU,College of science,Environmental Earth Systems Science,Science,0.9,0.767,4399.0,4300.0,4585.0,4350.0,4100.0,5000.0
2025,NTU,College of engineering,Environmental Engineering,Engineering,0.868,0.632,4205.0,4000.0,4351.0,4200.0,3900.0,4900.0
2025,NTU,College of humanities arts & social sciences,History,Arts & Social Sciences,0.818,0.523,4360.0,4500.0,4516.0,4583.0,3700.0,4800.0
2025,NTU,College of engineering,Information Engineering & Media,Engineering,0.754,0.596,5071.0,4900.0,5130.0,4950.0,4700.0,5500.0
2025,NTU,College of science,Interdisciplinary Double Major,Other,0.8440000000000001,0.7190000000000001,5594.0,5226.0,5628.0,5226.0,5020.0,6500.0
2025,NTU,College of humanities arts & social sciences,Linguistics & Multilingual Studies,Arts & Social Sciences,0.774,0.47200000000000003,3784.0,3800.0,4035.0,3950.0,3550.0,4498.0
2025,NTU,College of engineering,Maritime Studies,Science,0.932,0.807,4344.0,4200.0,4424.0,4200.0,4000.0,4800.0
2025,NTU,College of engineering,Materials Engineering,Engineering,0.848,0.72,4538.0,4640.0,4748.0,4700.0,4200.0,5000.0
2025,NTU,College of science,Mathematical Sciences,Science,0.7809999999999999,0.644,4776.0,4500.0,5108.0,4680.0,4300.0,5100.0
2025,NTU,College of engineering,Mechanical Engineering,Engineering,0.867,0.733,4537.0,4400.0,4664.0,4500.0,4090.0,5000.0
2025,NTU,Lee kong chian school of medicine,Medicine,Healthcare,1.0,1.0,5163.0,5050.0,6551.0,6500.0,6000.0,7000.0
2025,NTU,College of humanities arts & social sciences,Philosophy,Arts & Social Sciences,0.75,0.625,4054.0,4050.0,4383.0,4390.0,3500.0,4908.0
2025,NTU,College of science,Physics & Applied Physics,Science,0.7809999999999999,0.563,4610.0,4600.0,4706.0,4600.0,3800.0,5221.0
2025,NTU,College of humanities arts & social sciences,Psychology,Arts & Social Sciences,0.838,0.586,4173.0,4000.0,4354.0,4065.0,3850.0,4945.0
2025,NTU,College of humanities arts & social sciences,Public Policy & Global Affairs,Arts & Social Sciences,0.871,0.71,4887.0,4698.0,4966.0,4880.0,4500.0,5550.0
2025,NTU,National institute of education,Science (with Education),Education,1.0,1.0,5092.0,5109.0,5181.0,5109.0,5014.0,5400.0
2025,NTU,College of humanities arts & social sciences,Sociology,Arts & Social Sciences,0.833,0.648,4112.0,4225.0,4398.0,4500.0,4000.0,4780.0
2025,NTU,National institute of education,Sports Science & Management,Science,0.875,0.667,4035.0,3975.0,4331.0,4100.0,3625.0,4773.0
2025,NUS,Nus business school,Accountancy,Business,0.9620000000000001,0.909,4730.0,4350.0,4790.0,4375.0,4350.0,4999.0
2025,NUS,College of design and engineering,Architecture,Architecture & Design,0.8400000000000001,0.6839999999999999,4417.0,4200.0,4464.0,4200.0,4150.0,4560.0
2025,NUS,Yale-nus college,Arts (General),Arts & Social Sciences,0.8959999999999999,0.7390000000000001,5048.0,4500.0,5242.0,4600.0,4030.0,5650.0
2025,NUS,College of design and engineering,Biomedical Engineering,Engineering,0.812,0.644,4264.0,4125.0,4504.0,4385.0,4017.0,4900.0
2025,NUS,Nus business school,Business,Business,0.9304999999999999,0.8135,5925.5,5334.5,6212.5,5430.0,4150.0,7500.0
2025,NUS,School of computing,Business Analytics,Technology,0.94,0.857,6191.0,5500.0,6375.0,5700.0,5000.0,7083.0
2025,NUS,College of design and engineering,Chemical & Biomolecular Engineering,Engineering,0.865,0.73,4605.0,4500.0,4829.0,4800.0,4500.0,5100.0
2025,NUS,College of design and engineering,Civil Engineering,Engineering,0.9620000000000001,0.924,4403.0,4300.0,4543.0,4378.0,4100.0,5000.0
2025,NUS,Multi-disciplinary programmes,Computer Engineering,Engineering,0.892,0.785,5755.0,5500.0,5988.0,5600.0,5230.0,6500.0
2025,NUS,School of computing,Computer Science,Technology,0.909,0.841,6485.0,6250.0,6674.0,6400.0,5300.0,7500.0
2025,NUS,Faculty of science,Data Science,Technology,0.8240000000000001,0.6509999999999999,5234.0,5000.0,5380.0,5000.0,4450.0,6000.0
2025,NUS,Faculty of dentistry,Dental Surgery,Healthcare,1.0,1.0,4553.0,4550.0,4595.0,4550.0,4500.0,4597.0
2025,NUS,College of design and engineering,Electrical Engineering,Engineering,0.888,0.821,4735.0,4600.0,4951.0,4900.0,4500.0,5400.0
2025,NUS,College of design and engineering,Engineering Science,Engineering,0.87,0.652,4633.0,4731.0,5016.0,5000.0,4500.0,5800.0
2025,NUS,College of design and engineering,Environmental Engineering,Engineering,0.867,0.633,4332.0,4500.0,4450.0,4500.0,4100.0,4650.0
2025,NUS,Multi-disciplinary programmes,Environmental Studies,Science,0.92,0.72,4175.0,4225.0,4460.0,4500.0,4000.0,4762.0
